Unnamed: 0;INSTITUICAO;GRUPO;DATA_CRIACAO;LIDER;LIDER2;AREA;BUSCA;ESTADO
;Universidade Paulista;Engenharia de Software Aplicada à Criação de Sistemas Críticos;14/09/2022;Marcelo Nogueira;Marcelo Nogueira;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Instituto Stela;Engenharia do Conhecimento aplicada a Gestão de Informação e ;21/11/2022;Denilson Sell;-;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;Universidade Nove de Julho;Estratégia e Competitividade;14/10/2022;Benny Kramer Costa;Roberto Lima Ruas;Ciências Sociais Aplicadas;Inteligência Artificial;São Paulo
;Instituto para o Desenvolvimento da Educação;Estratégia, Inovação e Tecnologias de apoio à Gestão;28/10/2022;Elnivan Moreira de Souza;-;Ciências Sociais Aplicadas;Inteligência Artificial;Rio Grande do Norte
;Universidade Estadual de Feira de Santana;Finanças Computacionais;12/05/2023;Carlos Alberto Rodrigues;-;Ciências Exatas e da Terra;Inteligência Artificial;Bahia
;Faculdade Jesuíta de Filosofia e Teologia;G-PEB Grupo de Pesquisa em Filosofia do Comportamento Econômico;10/04/2023;Nara Lucia de Melo Lemos Rela;Rogério Antonio Picoli;Ciências Humanas;Inteligência Artificial;Minas Gerais
;Universidade Federal de Viçosa;Genética Quantitativa, Estatística Genômica e BLUP no Melhoramento ;09/03/2023;Cosme Damiao Cruz;Cosme Damiao Cruz;Ciências Agrárias;Inteligência Artificial;Minas Gerais
;Universidade Ibirapuera;Gestão Financeira;22/02/2023;Juliano Augusto Orsi de Araujo;-;Ciências Sociais Aplicadas;Inteligência Artificial;São Paulo
;Hospital Universitário Lauro Wanderley/Ebserh;GPAC- Grupo de Pesquisa em Anomalias Craniofaciais;23/05/2023;Rosa Helena Wanderley Lacerda;-;Ciências da Saúde;Inteligência Artificial;Paraíba
;Universidade Federal do Pampa;GREAT - GRupo de Engenharia da informação Aplicada e Tecnologias ;29/03/2023;Sandra Dutra Piovesan;Sandra Dutra Piovesan;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Sul
;Instituto Federal Catarinense;GrECIA - Grupo de Estudos em Engenharia do Conhecimento e ;10/10/2022;Juliano Tonizetti Brignoli;Daniel Gomes Soares;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;ADWA CANNABIS PESQUISA E DESENVOLVIMENTO LTDA ;Grupo Brasileiro de Estudos sobre a Cannabis sativa L. (GBEC);06/05/2023;Sérgio Barbosa Ferreira Rocha;Caetano Marciano de Souza;Ciências Agrárias;Inteligência Artificial;Minas Gerais
;Universidade Federal de São João Del-Rei;Grupo de Estudos Aplicados à Engenharia da Computação;02/03/2023;Cristiano Maciel da Silva;Cristiano Maciel da Silva;Ciências Exatas e da Terra;Inteligência Artificial;Minas Gerais
;Universidade Corporativa da Polícia Rodoviária Federal;GRUPO DE ESTUDOS E PESQUISA EM INOVAÇÃO E TRANSFORMAÇÃO - ;11/02/2023;Júlio César de Freitas Taveira;-;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;Universidade de Caxias do Sul;Grupo de Estudos e Pesquisas em Otimização de Operações e Processos ;21/10/2022;Alexandre Mesquita;Alexandre Mesquita;Engenharias;Inteligência Artificial;Rio Grande do Sul
;Universidade Positivo;Grupo de Inovação Médica;30/04/2023;Thaís Andrade Costa Casagrande;Thaís Andrade Costa Casagrande;Ciências da Saúde;Inteligência Artificial;São Paulo
;Universidade do Vale do Itajaí;Grupo de Inteligência Aplicada;21/05/2023;Rudimar Luís Scaranto Dazzi;Rudimar Luís Scaranto Dazzi;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;Universidade Estácio de Sá;Grupo de Investigação em Educação online e aprendizagem em rede ;01/04/2023;Andréa Villela Mafra da Silva;-;Ciências Humanas;Inteligência Artificial;Goiás
;Universidade Santa Cecília;Grupo de Lógica Paraconsistente Aplicada em Automação e Robótica;03/04/2023;Alexandre Rocco;Alexandre Rocco;Engenharias;Inteligência Artificial;São Paulo
;Instituto Federal de Educação, Ciência e Tecnologia Baiano;Grupo de Pesquisa em  Computação Aplicada e Interdisciplinar (GPCAI);10/06/2022;Tiago do Carmo Nogueira;-;Ciências Exatas e da Terra;Inteligência Artificial;Bahia
;Instituto Federal Sul-Rio-Grandense;GRUPO DE PESQUISA EM AUTOMAÇÃO E CONTROLE - GPAC;23/03/2023;Gabriel de Borba Luche;Gabriel de Borba Luche;Engenharias;Inteligência Artificial;Rio Grande do Sul
;Fundação Universidade Regional de Blumenau;GRUPO DE PESQUISA EM ENERGIA E TELECOMUNICAÇÕES -GPETEL;17/10/2022;Luiz Henrique Meyer;Thair Ibrahim Abdel Hamid Mustafa;Engenharias;Inteligência Artificial;Santa Catarina
;Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ;Grupo de pesquisa em Inovação, Tecnologia e Educação (GITE);17/04/2023;Vittorio Leandro Oliveira Lo Bianco;-;Ciências Humanas;Inteligência Artificial;Rio de Janeiro
;Universidade de Marília;Grupo de Pesquisa em Inteligência Artificial Aplicada;23/05/2023;Caio Saraiva Coneglian;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade Estadual do Norte Fluminense Darcy Ribeiro;Grupo de Pesquisa em Nutrição Animal e Melhoramento Genético;23/06/2022;Tadeu Silva de Oliveira;Tadeu Silva de Oliveira;Ciências Agrárias;Inteligência Artificial;Rio de Janeiro
;Instituto Federal do Sertão Pernambucano;Grupo de Pesquisa em Redes de computadores, Otimização e ;20/07/2022;Marcelo Anderson Batista dos Santos;-;Ciências Exatas e da Terra;Inteligência Artificial;Pernambuco
;Centro Universitário Sagrado Coração;GRUPO DE PESQUISA MULTIDISCIPLINAR DE ;28/02/2023;Elvio Gilberto da Silva;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK;Grupo de Quimiometria Analítica;06/11/2022;Paulo Henrique Fidencio;-;Ciências Exatas e da Terra;Inteligência Artificial;Minas Gerais
;Universidade do Vale do Sapucaí;Grupo Multidisciplinar de Inovação Tecnológica em Gestão da Saúde - ;03/05/2023;Flávio Fraga Vilela;-;Engenharias;Inteligência Artificial;Minas Gerais
;Centro Universitário de Belo Horizonte;Health Lab 4.0;28/01/2023;Flávio Henrique Batista de Souza;Flávio Henrique Batista de Souza;Ciências da Saúde;Inteligência Artificial;Minas Gerais
;Universidade Federal do ABC;Heuristics, Analysis and Learning Laboratory;13/01/2023;Fabricio Olivetti de França;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade Federal do Cariri;Innovation, Technology and Sustainability Lab (ITSLAB);28/03/2023;Domenico Ceglia;-;Ciências Sociais Aplicadas;Inteligência Artificial;Ceará
;Fundação Centro de Pesquisa e Desenvolvimento em Telecomunicações;Inteligência Artificial - CPQD;28/03/2022;Guilherme Adriano Folego;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Complexo Educacional Renato Saraiva;Inteligência artificial, interfaces jurídicas e de segurança humana;13/09/2022;Maria Amália Oliveira de Arruda ;-;Ciências Sociais Aplicadas;Inteligência Artificial;Pernambuco
;Universidade Federal da Integração Latino-Americana;Inteligência Computacional e Inserção Tecnológica;02/09/2022;Joylan Nunes Maciel;Joylan Nunes Maciel;Ciências Exatas e da Terra;Inteligência Artificial;Paraná
;Centro Universitário Autônomo do Brasil;Jurisdição e democracia;18/04/2023;Bruno Meneses Lorenzetto;William Soares Pugliese;Ciências Sociais Aplicadas;Inteligência Artificial;Paraná
;Escola Nacional de Formação e Aperfeiçoamento de Magistrados;Justiça Digital: Tecnologias Disruptivas e Inteligência Artificial no Direito;23/03/2023;Samuel Meira Brasil Jr;-;Ciências Sociais Aplicadas;Inteligência Artificial;Distrito Federal
;Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Laboratório de Computação Afetiva - LaCAfe;30/12/2022;Gustavo Paiva Guedes e Silva;-;Ciências Exatas e da Terra;Inteligência Artificial;Rio de Janeiro
;Escola Superior de Ciências da Saúde;Laboratorio de Dados para Qualidade do Cuidado e Pesquisa de Desfechos ;03/05/2023;Ana Cláudia Cavalcante ;Ana Cláudia Cavalcante Nogueira;Ciências da Saúde;Inteligência Artificial;Distrito Federal
;Fundação Educacional Lucas Machado;Laboratório de Investigações NeuroCardíacas, Ciências Médicas de ;19/04/2023;Julliane Vasconcelos ;-;Ciências da Saúde;Inteligência Artificial;Minas Gerais
;Universidade Federal da Fronteira Sul;Laboratório de Pesquisa em Gestão, Inovação e Tecnologias em Saúde - ;14/03/2023;Zuleide Maria Ignácio;Zuleide Maria Ignácio;Ciências da Saúde;Inteligência Artificial;Santa Catarina
;Sociedade Educacional Três de Maio;LARCC: Laboratório de Pesquisas Avançadas para Computação em ;13/07/2022;Dalvan Jair Griebler;-;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Sul
;Universidade Católica de Petrópolis;Matemática Aplicada à Computação;23/03/2023;Fabio Lopes Licht;-;Ciências Exatas e da Terra;Inteligência Artificial;Rio de Janeiro
;Universidade Metodista de Piracicaba;Núcleo de Desenvolvimento e Otimização de Processos e Sistemas ;08/03/2023;Alexandre Tadeu Simon;-;Engenharias;Inteligência Artificial;São Paulo
;Centro Universitário Presidente Tancredo de Almeida Neves;Núcleo Interdisciplinar de Pesquisa e Ensino em Saúde (NIPES);11/03/2023;Raissa Neves Fagundes Lima;-;Ciências da Saúde;Inteligência Artificial;Minas Gerais
;Universidade para o Desenvolvimento do Alto Vale do Itajaí;PAEM - Projetos na área de Engenharia Mecânica;04/09/2022;Andreia Pasqualini Blass;-;Engenharias;Inteligência Artificial;Santa Catarina
;Universidade Federal do Vale do São Francisco;Propriedade Intelectual e Inovação em Processos, Produtos e Serviços;12/05/2023;Vivianni Marques Leite dos Santos;-;Engenharias;Inteligência Artificial;Pernambuco
;Universidade Cruzeiro do Sul;Reabilitação Física;11/04/2023;Eduardo Filoni;Eduardo Filoni;Ciências da Saúde;Inteligência Artificial;Goiás
;Universidade Comunitária da Região de Chapecó;Redes e Sistemas de Informação;02/04/2023;Sandro Silva de Oliveira;Viviane Duarte Bonfim;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;Universidade de Santa Cruz do Sul;Sistemas Computacionais de Apoio à Educação;07/12/2022;Liane Mahlmann Kipper;Liane Mahlmann Kipper;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Sul
;Instituto Federal Farroupilha;Sistemas de Computação;25/04/2023;Árton Pereira Dorneles;Árton Pereira Dorneles;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Sul
;Fundação Universidade Federal de Ciências da Saúde de Porto Alegre;Sistemas Inteligentes Aplicados à Saúde;28/04/2023;Viviane Rodrigues Botelho;Viviane Rodrigues Botelho;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Sul
;Instituto Mauá de Tecnologia;Sistemas Mecatrônicos Inteligentes e Robótica (S.M.I.R.);01/02/2023;Eduardo Lobo Lustosa Cabral;Fernando Silveira Madani;Engenharias;Inteligência Artificial;São Paulo
;Instituto Nacional de Tecnologia;Tecnologia Assistiva e Inclusão;13/04/2023;Júlio Cezar Augusto da Silva;-;Ciências Sociais Aplicadas;Inteligência Artificial;Rio de Janeiro
;Centro Universitário Carioca;Tecnologias Sociais para Popularização da Ciência;04/03/2023;Regina Célia Pereira de Moraes;Marcos Antonio Gomes Xavier;Ciências Humanas;Inteligência Artificial;Rio de Janeiro
